id,书名,描述,基础影响力,额外影响力,类型
1,昨日的世界,,1,1,往昔
2,罗马帝国衰亡史,,1,1,往昔
3,追忆似水年华,,1,1,往昔
4,上帝之城,,1,2,往昔
5,法国大革命史,,1,2,往昔
6,伯罗奔尼撒战争史,,1,2,往昔
7,无声告白,,2,2,往昔
8,向加泰罗尼亚致敬,,2,2,往昔
9,缅甸岁月,,2,2,往昔
10,二手时间,,2,3,往昔
11,1984,,1,1,预言
12,美丽新世界,,1,1,预言
13,我们,,1,1,预言
14,银河帝国,,1,2,预言
15,海底两万里,,1,2,预言
16,少数派报告,,1,2,预言
17,雪崩,,2,2,预言
18,动物农场,,2,2,预言
19,禅与摩托车维修手册,,1,1,启示
20,恶心,,1,1,启示
21,理想国,,1,1,启示
22,上来透口气,,1,2,启示
23,也许你该找人聊聊,,1,2,启示
24,人间食粮,,1,2,启示
25,西线无战事,,1,1,反思
26,地下室手记,,1,1,反思
27,白痴,,1,1,反思
28,卡拉马佐夫兄弟,,1,2,反思
29,荒原狼,,1,2,反思
30,人不单靠面包活着,,1,2,反思
31,浮士德,,1,1,反思
32,守望者,,1,1,故事
33,奥兰多,,1,1,故事
34,坟场之书,,1,2,故事
35,美国众神,,1,2,故事
36,丧钟为谁而鸣,,1,2,故事
37,九故事,,2,2,故事
38,十一种孤独,,2,2,故事
39,修补匠、裁缝、士兵与间谍,,2,3,故事
40,,,,,
41,,,,,
42,,,,,
43,,,,,
44,,,,,
45,,,,,
46,,,,,
47,,,,,
48,,,,,
49,,,,,
50,,,,,
51,,,,,
52,,,,,
53,,,,,
54,,,,,
55,,,,,
56,,,,,
57,,,,,
58,,,,,
59,,,,,
60,,,,,
61,,,,,
62,,,,,
63,,,,,
64,,,,,
65,,,,,
66,,,,,
67,,,,,
68,,,,,
69,,,,,
70,,,,,
71,,,,,
72,,,,,
73,,,,,
74,,,,,
75,,,,,
76,,,,,
77,,,,,
78,,,,,
79,,,,,
80,,,,,
81,,,,,
82,,,,,
83,,,,,
84,,,,,
85,,,,,
86,,,,,
87,,,,,
88,,,,,
89,,,,,
90,,,,,
91,,,,,
92,,,,,
